    6   1 0.13441E-05 0.83896E-03 0.16315E-01 0.37492E+04
    7   2 0.91403E-06 0.56942E-03 0.13622E-01 0.37492E+04
    8   3 0.66779E-06 0.44723E-03 0.84311E-02 0.37492E+04
    9   4 0.46246E-06 0.43310E-03 0.82111E-02 0.37492E+04
   10   5 0.29746E-06 0.29557E-03 0.60588E-02 0.37492E+04
    1  -1 0.32487E-05 0.35831E-02 0.14639E-01 0.37492E+04
    2  -1 0.29744E-05 0.25391E-02 0.81914E-02 0.37492E+04
    3  -1 0.22703E-05 0.17881E-02 0.64952E-02 0.37492E+04
    4  -1 0.18459E-05 0.13134E-02 0.54392E-02 0.37492E+04
    5   0 0.15344E-05 0.10266E-02 0.90528E-02 0.37492E+04
    6   1 0.10640E-05 0.71850E-03 0.19342E-01 0.37492E+04
    7   2 0.35389E-06 0.22649E-03 0.15660E-01 0.37492E+04
    8   3 0.66599E-06 0.42684E-03 0.58781E-02 0.37492E+04
    9   4 0.67954E-06 0.46419E-03 0.70944E-02 0.37492E+04
   10   5 0.37419E-06 0.23991E-03 0.75678E-02 0.37492E+04
    1  -1 0.64636E-06 0.36787E-03 0.28240E-02 0.37492E+04
    2  -1 0.22675E-06 0.20506E-03 0.12553E-02 0.37492E+04
    3  -1 0.16080E-06 0.14386E-03 0.71877E-03 0.37492E+04
    4  -1 0.13017E-06 0.11243E-03 0.46423E-03 0.37492E+04
    5   0 0.11096E-06 0.93550E-04 0.63583E-03 0.37492E+04
    6   1 0.84916E-07 0.67937E-04 0.10716E-02 0.37492E+04
    7   2 0.50190E-07 0.34622E-04 0.85863E-03 0.37492E+04
    8   3 0.54546E-07 0.35128E-04 0.87315E-03 0.37492E+04
    9   4 0.41968E-07 0.31468E-04 0.76628E-03 0.37492E+04
   10   5 0.27611E-07 0.22465E-04 0.38758E-03 0.37492E+04
    1  -1 0.28440E-06 0.14962E-03 0.70399E-03 0.37492E+04
    2  -1 0.12965E-06 0.10577E-03 0.42120E-03 0.37492E+04
    3  -1 0.10107E-06 0.74324E-04 0.33057E-03 0.37492E+04
    4  -1 0.83559E-07 0.55543E-04 0.27543E-03 0.37492E+04
    5   0 0.71743E-07 0.46865E-04 0.45687E-03 0.37492E+04
    6   1 0.53512E-07 0.32998E-04 0.97686E-03 0.37492E+04
    7   2 0.24722E-07 0.14408E-04 0.81888E-03 0.37492E+04
    8   3 0.39165E-07 0.26377E-04 0.34711E-03 0.37492E+04
    9   4 0.32395E-07 0.22102E-04 0.34910E-03 0.37492E+04
   10   5 0.22338E-07 0.16631E-04 0.40796E-03 0.37492E+04
    1  -1 0.57251E-07 0.65850E-04 0.27537E-03 0.37492E+04
    2  -1 0.46290E-07 0.42948E-04 0.17816E-03 0.37492E+04
    3  -1 0.34336E-07 0.28492E-04 0.12401E-03 0.37492E+04
    4  -1 0.27637E-07 0.20255E-04 0.10341E-03 0.37492E+04
    5   0 0.22681E-07 0.15822E-04 0.17011E-03 0.37492E+04
    6   1 0.15754E-07 0.98438E-05 0.35018E-03 0.37492E+04
    7   2 0.63085E-08 0.55050E-05 0.24399E-03 0.37492E+04
    8   3 0.10293E-07 0.76062E-05 0.10696E-03 0.37492E+04
    9   4 0.10614E-07 0.71545E-05 0.14964E-03 0.37492E+04
   10   5 0.89880E-08 0.59254E-05 0.14466E-03 0.39419E+04
    1  -1 0.17140E-07 0.14204E-04 0.10845E-03 0.39419E+04
    2  -1 0.99580E-08 0.93715E-05 0.62734E-04 0.39419E+04
    3  -1 0.70322E-08 0.58835E-05 0.40323E-04 0.39419E+04
    4  -1 0.54760E-08 0.48749E-05 0.32276E-04 0.39419E+04
    5   0 0.45756E-08 0.39923E-05 0.50366E-04 0.39419E+04
    6   1 0.40109E-08 0.32359E-05 0.96083E-04 0.39419E+04
    7   2 0.62509E-08 0.43705E-05 0.52214E-04 0.39419E+04
    8   3 0.90424E-08 0.62196E-05 0.50634E-04 0.39419E+04
    9   4 0.67238E-08 0.53791E-05 0.67443E-04 0.39419E+04
   10   5 0.31758E-08 0.33619E-05 0.42051E-04 0.87414E+04
    1  -1 0.81105E-08 0.72702E-05 0.60946E-04 0.87414E+04
    2  -1 0.51764E-08 0.44336E-05 0.35137E-04 0.87414E+04
    3  -1 0.35631E-08 0.29207E-05 0.21189E-04 0.87414E+04
    4  -1 0.30035E-08 0.21853E-05 0.16958E-04 0.87414E+04
    5   0 0.23995E-08 0.16810E-05 0.26673E-04 0.50000E+04
